,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
MN,4075970.0,4111728.0,4131450.0,4141456.0,4157706.0,4184302.0,4205212.0,4235136.0,4296166.0,4338057.0,4389857.0,4440859.0,4495572.0,4555954.0,4610355.0,4660180.0,4712827.0,4763390.0,4813412.0,4873481.0,4933692.0,4982796.0,5018935.0,5053572.0,5087713.0,5119598.0,5163555.0,5207203.0,5247018.0,5281203.0,5311147.0,5348562.0,5380285.0,5418521.0,5453109.0,5482435.0,5519952.0
MS,2520638.0,2539036.0,2556777.0,2567717.0,2578051.0,2588102.0,2593597.0,2588545.0,2580352.0,2574269.0,2578897.0,2598733.0,2623734.0,2655100.0,2688992.0,2722659.0,2748085.0,2777004.0,2804834.0,2828408.0,2848353.0,2852994.0,2858681.0,2868312.0,2889010.0,2905943.0,2904978.0,2928350.0,2947806.0,2958774.0,2970322.0,2978162.0,2984945.0,2990482.0,2992400.0,2989390.0,2988726.0
MO,4916686.0,4932064.0,4929451.0,4943733.0,4975278.0,5000268.0,5023068.0,5056696.0,5081736.0,5095830.0,5128880.0,5170800.0,5217101.0,5271175.0,5324497.0,5378247.0,5431553.0,5481193.0,5521765.0,5561948.0,5607285.0,5641142.0,5674825.0,5709403.0,5747741.0,5790300.0,5842704.0,5887612.0,5923916.0,5961088.0,5996118.0,6010717.0,6025415.0,6042711.0,6060930.0,6076204.0,6093000.0
MT,786690.0,795328.0,803986.0,814031.0,820905.0,822320.0,813739.0,805063.0,800202.0,799636.0,800204.0,809680.0,825770.0,844761.0,861306.0,876553.0,886254.0,889865.0,892431.0,897507.0,903773.0,906961.0,911667.0,919630.0,930009.0,940102.0,952692.0,964706.0,976415.0,983982.0,990641.0,997821.0,1005196.0,1014314.0,1022867.0,1032073.0,1042520.0
NE,1569825.0,1578515.0,1581780.0,1584293.0,1588639.0,1584664.0,1574333.0,1566547.0,1571477.0,1574864.0,1581660.0,1595919.0,1611687.0,1625590.0,1639041.0,1656992.0,1673740.0,1686418.0,1695816.0,1704764.0,1713820.0,1719836.0,1728292.0,1738643.0,1749370.0,1761497.0,1772693.0,1783440.0,1796378.0,1812683.0,1830051.0,1842283.0,1855725.0,1868559.0,1881145.0,1893765.0,1907116.0
NV,800493.0,847655.0,881537.0,901977.0,924922.0,951030.0,980613.0,1023376.0,1075022.0,1137382.0,1220695.0,1296171.0,1351367.0,1411215.0,1499298.0,1581578.0,1666320.0,1764104.0,1853191.0,1934718.0,2018741.0,2098399.0,2173791.0,2248850.0,2346222.0,2432143.0,2522658.0,2601072.0,2653630.0,2684665.0,2703284.0,2718379.0,2752565.0,2786464.0,2833013.0,2883758.0,2940058.0
NH,920610.0,936621.0,947719.0,958134.0,976864.0,996753.0,1025053.0,1054289.0,1082577.0,1104522.0,1112384.0,1109929.0,1117784.0,1129458.0,1142560.0,1157561.0,1174719.0,1189425.0,1205940.0,1222014.0,1239882.0,1255517.0,1269089.0,1279840.0,1290121.0,1298492.0,1308389.0,1312540.0,1315906.0,1316102.0,1316872.0,1318473.0,1321182.0,1322687.0,1328743.0,1330111.0,1334795.0
NJ,7364823.0,7407472.0,7430968.0,7467785.0,7515473.0,7565528.0,7622159.0,7670742.0,7712333.0,7726089.0,7762963.0,7814676.0,7880508.0,7948915.0,8014306.0,8083242.0,8149596.0,8218808.0,8287418.0,8359592.0,8430621.0,8492671.0,8552643.0,8601402.0,8634561.0,8651974.0,8661679.0,8677885.0,8711090.0,8755602.0,8803729.0,8841243.0,8873211.0,8899162.0,8925001.0,8935421.0,8944469.0
NM,1302894.0,1332748.0,1363823.0,1394361.0,1416717.0,1438361.0,1462729.0,1478520.0,1490337.0,1503901.0,1521574.0,1555305.0,1595442.0,1636453.0,1682398.0,1720394.0,1752326.0,1774839.0,1793484.0,1808082.0,1821204.0,1831690.0,1855309.0,1877574.0,1903808.0,1932274.0,1962137.0,1990070.0,2010662.0,2036802.0,2064756.0,2077756.0,2083784.0,2085193.0,2083024.0,2080328.0,2081015.0
NY,17558072.0,17567734.0,17589738.0,17686905.0,17745684.0,17791672.0,17833419.0,17868848.0,17941309.0,17983086.0,18020784.0,18122510.0,18246653.0,18374954.0,18459470.0,18524104.0,18588460.0,18656546.0,18755906.0,18882725.0,19001780.0,19082838.0,19137800.0,19175939.0,19171567.0,19132610.0,19104631.0,19132335.0,19212436.0,19307066.0,19402640.0,19519529.0,19602769.0,19673546.0,19718515.0,19747183.0,19745289.0
NC,5881766.0,5956653.0,6019101.0,6077056.0,6164006.0,6253954.0,6321578.0,6403700.0,6480594.0,6565459.0,6664016.0,6784280.0,6897214.0,7042818.0,7187398.0,7344674.0,7500670.0,7656825.0,7809121.0,7949361.0,8081614.0,8210122.0,8326201.0,8422501.0,8553152.0,8705407.0,8917270.0,9118037.0,9309449.0,9449566.0,9558915.0,9650963.0,9746175.0,9841590.0,9934399.0,10035186.0,10146788.0
ND,652717.0,659505.0,668972.0,676688.0,680497.0,676980.0,669512.0,661136.0,655331.0,646351.0,637685.0,635753.0,638223.0,641216.0,644804.0,647832.0,650382.0,649716.0,647532.0,644259.0,642023.0,639062.0,638168.0,638817.0,644705.0,646089.0,649422.0,652822.0,657569.0,664968.0,674526.0,685476.0,702087.0,724019.0,739904.0,756835.0,757952.0
OH,10797630.0,10788330.0,10757087.0,10737632.0,10737746.0,10734926.0,10730268.0,10760090.0,10798552.0,10829217.0,10864162.0,10945762.0,11029431.0,11101140.0,11152454.0,11202751.0,11242827.0,11277357.0,11311536.0,11335454.0,11363543.0,11387404.0,11407889.0,11434788.0,11452251.0,11463320.0,11481213.0,11500468.0,11515391.0,11528896.0,11540983.0,11544824.0,11550839.0,11570022.0,11594408.0,11605090.0,11614373.0
OK,3025290.0,3096164.0,3206123.0,3290402.0,3285533.0,3271332.0,3252735.0,3210122.0,3167057.0,3150307.0,3148825.0,3175440.0,3220517.0,3252285.0,3280940.0,3308208.0,3340129.0,3372917.0,3405194.0,3437147.0,3454365.0,3467100.0,3489080.0,3504892.0,3525233.0,3548597.0,3594090.0,3634349.0,3668976.0,3717572.0,3759603.0,3786274.0,3817054.0,3852415.0,3877499.0,3907414.0,3923561.0
OR,2633105.0,2667982.0,2664922.0,2653066.0,2666588.0,2672652.0,2683528.0,2700991.0,2741297.0,2790575.0,2860375.0,2928507.0,2991755.0,3060367.0,3121264.0,3184369.0,3247111.0,3304310.0,3352449.0,3393941.0,3429708.0,3467937.0,3513424.0,3547376.0,3569463.0,3613202.0,3670883.0,3722417.0,3768748.0,3808600.0,3838048.0,3868031.0,3899116.0,3925751.0,3968371.0,4024634.0,4093465.0
PA,11863895.0,11858567.0,11845146.0,11837723.0,11815172.0,11770862.0,11782752.0,11810866.0,11845752.0,11865996.0,11903299.0,11982164.0,12049450.0,12119724.0,12166050.0,12198403.0,12220464.0,12227814.0,12245672.0,12263805.0,12284173.0,12298970.0,12331031.0,12374658.0,12410722.0,12449990.0,12510809.0,12563937.0,12612285.0,12666858.0,12712343.0,12744293.0,12771854.0,12781338.0,12790565.0,12791904.0,12784227.0
RI,947154.0,953013.0,954170.0,956382.0,961894.0,968955.0,977341.0,989604.0,996408.0,1000666.0,1005995.0,1010649.0,1012581.0,1015112.0,1015960.0,1017002.0,1020893.0,1025353.0,1031155.0,1040402.0,1050268.0,1057142.0,1065995.0,1071342.0,1074579.0,1067916.0,1063096.0,1057315.0,1055003.0,1053646.0,1053337.0,1052451.0,1052901.0,1053033.0,1054480.0,1055607.0,1056426.0
SC,3121820.0,3179255.0,3207614.0,3234066.0,3271868.0,3303209.0,3342758.0,3380506.0,3412096.0,3456775.0,3501155.0,3570404.0,3620464.0,3663314.0,3705397.0,3748582.0,3796200.0,3859696.0,3919235.0,3974682.0,4024223.0,4064995.0,4107795.0,4150297.0,4210921.0,4270150.0,4357847.0,4444110.0,4528996.0,4589872.0,4635943.0,4672637.0,4720760.0,4767894.0,4828430.0,4894834.0,4961119.0
SD,690768.0,689584.0,690597.0,693008.0,697249.0,698402.0,696034.0,696036.0,698165.0,696701.0,697101.0,703669.0,712801.0,722159.0,730790.0,737925.0,742213.0,744223.0,746058.0,750412.0,755844.0,757972.0,760020.0,763729.0,770396.0,775493.0,783033.0,791623.0,799124.0,807067.0,816325.0,824398.0,834441.0,844922.0,852561.0,857919.0,865454.0
TN,4591120.0,4627658.0,4646041.0,4659749.0,4686737.0,4715296.0,4738708.0,4782927.0,4822437.0,4854444.0,4894492.0,4966587.0,5049742.0,5137584.0,5231438.0,5326936.0,5416643.0,5499233.0,5570045.0,5638706.0,5703719.0,5750789.0,5795918.0,5847812.0,5910809.0,5991057.0,6088766.0,6175727.0,6247411.0,6306019.0,6356671.0,6397634.0,6454306.0,6494821.0,6544663.0,6595056.0,6651194.0
TX,14229191.0,14746318.0,15331415.0,15751676.0,16007086.0,16272734.0,16561113.0,16621791.0,16667022.0,16806735.0,17056755.0,17398005.0,17759738.0,18161612.0,18564062.0,18958751.0,19340342.0,19740317.0,20157531.0,20558220.0,20944499.0,21319622.0,21690325.0,22030931.0,22394023.0,22778123.0,23359580.0,23831983.0,24309039.0,24801761.0,25244310.0,25646389.0,26071655.0,26473525.0,26944751.0,27429639.0,27862596.0
UT,1461037.0,1515471.0,1558314.0,1594943.0,1622342.0,1642910.0,1662834.0,1678119.0,1689372.0,1705864.0,1731223.0,1779780.0,1836799.0,1898404.0,1960446.0,2014177.0,2067976.0,2119784.0,2165960.0,2203482.0,2244502.0,2283715.0,2324815.0,2360137.0,2401580.0,2457719.0,2525507.0,2597746.0,2663029.0,2723421.0,2775326.0,2816124.0,2855782.0,2902663.0,2941836.0,2990632.0,3051217.0
VT,511456.0,515594.0,519109.0,523302.0,526660.0,530035.0,534066.0,540267.0,549763.0,557707.0,564798.0,568606.0,572751.0,577748.0,583836.0,589002.0,593701.0,597239.0,600416.0,604683.0,609618.0,612223.0,615442.0,617858.0,619920.0,621215.0,622892.0,623481.0,624151.0,624817.0,625982.0,626730.0,626444.0,627140.0,626984.0,626088.0,624594.0
VA,5346818.0,5444097.0,5492783.0,5564657.0,5643870.0,5715153.0,5811700.0,5932268.0,6036909.0,6120246.0,6216884.0,6301217.0,6414307.0,6509630.0,6593139.0,6670693.0,6750884.0,6829183.0,6900918.0,7000174.0,7105817.0,7198362.0,7286873.0,7366977.0,7475575.0,7577105.0,7673725.0,7751000.0,7833496.0,7925937.0,8025773.0,8110035.0,8192048.0,8262692.0,8317372.0,8367587.0,8411808.0
WA,4132156.0,4235731.0,4276552.0,4300266.0,4343656.0,4400098.0,4452720.0,4531901.0,4639893.0,4746316.0,4903043.0,5025624.0,5160757.0,5278842.0,5375161.0,5481027.0,5569753.0,5674747.0,5769562.0,5842564.0,5910512.0,5985722.0,6052349.0,6104115.0,6178645.0,6257305.0,6370753.0,6461587.0,6562231.0,6667426.0,6743226.0,6822520.0,6895226.0,6968006.0,7054196.0,7160290.0,7288000.0
WV,1949644.0,1954124.0,1949604.0,1945061.0,1927697.0,1906831.0,1882350.0,1857585.0,1830215.0,1806568.0,1792548.0,1798735.0,1806451.0,1817539.0,1820421.0,1823700.0,1822808.0,1819113.0,1815609.0,1811799.0,1807021.0,1801481.0,1805414.0,1812295.0,1816438.0,1820492.0,1827912.0,1834052.0,1840310.0,1847775.0,1854230.0,1854972.0,1856560.0,1853231.0,1848514.0,1841053.0,1831102.0
WI,4705767.0,4726343.0,4728870.0,4721438.0,4735563.0,4747767.0,4755618.0,4777919.0,4822388.0,4856574.0,4904562.0,4964343.0,5025398.0,5084889.0,5133678.0,5184836.0,5229986.0,5266213.0,5297672.0,5332666.0,5373999.0,5406835.0,5445162.0,5479203.0,5514026.0,5546166.0,5577655.0,5610775.0,5640996.0,5669264.0,5690263.0,5709640.0,5726177.0,5742854.0,5758377.0,5767891.0,5778708.0
WY,469557.0,491712.0,506400.0,510345.0,504896.0,499695.0,495633.0,476965.0,465101.0,458374.0,453690.0,459260.0,466251.0,473081.0,480283.0,485160.0,488167.0,489451.0,490787.0,491780.0,494300.0,494657.0,500017.0,503453.0,509106.0,514157.0,522667.0,534876.0,546043.0,559851.0,564513.0,567725.0,576765.0,582684.0,583642.0,586555.0,585501.0
